time pressure pressure_error
0	5,43E-04	6,79E-05
5	4,10E-04	5,13E-05
10	2,98E-04	3,73E-05
15	1,96E-04	2,45E-05
20	1,40E-04	1,75E-05
25	1,05E-04	1,31E-05
30	8,93E-05	1,12E-05
40	7,08E-05	8,85E-06
50	6,38E-05	7,98E-06
60	5,99E-05	7,49E-06
90	5,34E-05	6,68E-06
120	4,95E-05	6,19E-06
150	4,77E-05	5,96E-06
180	4,64E-05	5,80E-06
210	4,54E-05	5,68E-06
240	4,45E-05	5,56E-06
270	4,37E-05	5,46E-06
300	4,28E-05	5,35E-06
330	4,21E-05	5,26E-06
360	4,14E-05	5,18E-06
390	4,07E-05	5,09E-06
420	4,01E-05	5,01E-06
480	3,92E-05	4,90E-06
540	3,77E-05	4,71E-06
600	3,64E-05	4,55E-06
720	3,49E-05	4,36E-06
851	3,38E-05	4,23E-06
900	3,35E-05	4,19E-06
960	3,31E-05	4,14E-06
1020	3,30E-05	4,13E-06
