voltage voltage_error current current_error
1	0,081649913	0,0002	0,000163299
2	0,081650679	0,0004	0,000163299
3	0,081651954	0,0006	0,000163299
4	0,08165374	0,0007	0,0001633
5	0,081656037	0,0009	0,0001633
6	0,081658843	0,0011	0,0001633
7	0,08166216	0,0013	0,0001633
8	0,081665986	0,0015	0,0001633
9	0,081670323	0,0017	0,000163301
10	0,08167517	0,0019	0,000163301
11	0,081680526	0,0021	0,000163302
12	0,081686392	0,0023	0,000163302
13	0,081692768	0,0024	0,000163302
14	0,081699653	0,0026	0,000163303
15	0,081707048	0,0028	0,000163303
16	0,081714952	0,0031	0,000163304
17	0,081723365	0,0035	0,000163306
18	0,081732287	0,004	0,000163307
19	0,081741717	0,008	0,000163332
20	0,081751656	0,0134	0,000163391
20,5	0,081756817	0,0164	0,000163437
21	0,081762104	0,0211	0,000163526
21,5	0,081767519	0,025	0,000163618
22	0,08177306	0,0308	0,000163783
22,5	0,081778728	0,0358	0,000163952
23	0,081784524	0,0417	0,000164184
23,5	0,081790446	0,0498	0,00016456
24	0,081796495	0,0566	0,000164926
24,5	0,081802672	0,065	0,001633209
25	0,081808975	0,074	0,001633273
25,5	0,081815405	0,082	0,001633336
26	0,081821961	0,091	0,001633416
26,5	0,081828645	0,101	0,001633514
27	0,081835455	0,111	0,001633622
27,5	0,081842392	0,122	0,001633753
28	0,081849455	0,132	0,001633882
28,5	0,081856646	0,143	0,001634036
29	0,081863962	0,16	0,001634299
29,5	0,081871406	0,283	0,001637075
30	0,081878976	0,239	0,001635906
32	0,08191052	0,313	0,001637985
34	0,081944087	0,333	0,001638642
36	0,081979672	0,35	0,001639233
38	0,082017275	0,37	0,001639964
40	0,082056891	0,386	0,001640579
42	0,082098518	0,404	0,001641301
44	0,082142153	0,423	0,001642099
46	0,082187793	0,441	0,001642888
48	0,082235434	0,46	0,001643756
50	0,082285074	0,48	0,001644709
52	0,082336707	0,502	0,001645803
54	0,082390331	0,524	0,001646945
56	0,082445942	0,549	0,001648302
58	0,082503535	0,576	0,001649837
60	0,082563107	0,603	0,001651444
65	0,082720664	0,685	0,001656765
70	0,08289049	0,802	0,001665493
75	0,083072508	0,97	0,001680322
