-0,40259	-0,02539	-40,25879	-0,25391
-0,39990	-0,02539	-39,99023	-0,25391
-0,39771	-0,02539	-39,77051	-0,25391
-0,39648	-0,02539	-39,64844	-0,25391
-0,39209	-0,02490	-39,20898	-0,24902
-0,38940	-0,02539	-38,94043	-0,25391
-0,38794	-0,02588	-38,79395	-0,25879
-0,38599	-0,02441	-38,59863	-0,24414
-0,38232	-0,02490	-38,23242	-0,24902
-0,37964	-0,02490	-37,96387	-0,24902
-0,37891	-0,02441	-37,89063	-0,24414
-0,37402	-0,02393	-37,40234	-0,23926
-0,37280	-0,02393	-37,28027	-0,23926
-0,37012	-0,02441	-37,01172	-0,24414
-0,36719	-0,02441	-36,71875	-0,24414
-0,36353	-0,02393	-36,35254	-0,23926
-0,36279	-0,02441	-36,27930	-0,24414
-0,35889	-0,02393	-35,88867	-0,23926
-0,35815	-0,02344	-35,81543	-0,23438
-0,35352	-0,02295	-35,35156	-0,22949
-0,35229	-0,02393	-35,22949	-0,23926
-0,35010	-0,02393	-35,00977	-0,23926
-0,34644	-0,02393	-34,64355	-0,23926
-0,34497	-0,02295	-34,49707	-0,22949
-0,34204	-0,02344	-34,20410	-0,23438
-0,33862	-0,02197	-33,86230	-0,21973
-0,33496	-0,02295	-33,49609	-0,22949
-0,33496	-0,02246	-33,49609	-0,22461
-0,33105	-0,02197	-33,10547	-0,21973
-0,32861	-0,02197	-32,86133	-0,21973
-0,32690	-0,02246	-32,69043	-0,22461
-0,32349	-0,02148	-32,34863	-0,21484
-0,32153	-0,02148	-32,15332	-0,21484
-0,31860	-0,02148	-31,86035	-0,21484
-0,31592	-0,02148	-31,59180	-0,21484
-0,31323	-0,02100	-31,32324	-0,20996
-0,31055	-0,02148	-31,05469	-0,21484
-0,30786	-0,02100	-30,78613	-0,20996
-0,30664	-0,02100	-30,66406	-0,20996
-0,30200	-0,02002	-30,20020	-0,20020
-0,30054	-0,02100	-30,05371	-0,20996
-0,29761	-0,02002	-29,76074	-0,20020
-0,29663	-0,02051	-29,66309	-0,20508
-0,29248	-0,02100	-29,24805	-0,20996
-0,28979	-0,02100	-28,97949	-0,20996
-0,28760	-0,02002	-28,75977	-0,20020
-0,28613	-0,01953	-28,61328	-0,19531
-0,28271	-0,01953	-28,27148	-0,19531
-0,28052	-0,01904	-28,05176	-0,19043
-0,27710	-0,01904	-27,70996	-0,19043
-0,27490	-0,01904	-27,49023	-0,19043
-0,27246	-0,01904	-27,24609	-0,19043
-0,27002	-0,01904	-27,00195	-0,19043
-0,26685	-0,01855	-26,68457	-0,18555
-0,26440	-0,01807	-26,44043	-0,18066
-0,26245	-0,01904	-26,24512	-0,19043
-0,25879	-0,01855	-25,87891	-0,18555
-0,25732	-0,01807	-25,73242	-0,18066
-0,25391	-0,01758	-25,39063	-0,17578
-0,25171	-0,01855	-25,17090	-0,18555
-0,24976	-0,01758	-24,97559	-0,17578
-0,24658	-0,01807	-24,65820	-0,18066
-0,24487	-0,01709	-24,48730	-0,17090
-0,24146	-0,01758	-24,14551	-0,17578
-0,23975	-0,01709	-23,97461	-0,17090
-0,23584	-0,01709	-23,58398	-0,17090
-0,23364	-0,01709	-23,36426	-0,17090
-0,23071	-0,01758	-23,07129	-0,17578
-0,23022	-0,01758	-23,02246	-0,17578
-0,22681	-0,01514	-22,68066	-0,15137
-0,22290	-0,01611	-22,29004	-0,16113
-0,22070	-0,01660	-22,07031	-0,16602
-0,21826	-0,01709	-21,82617	-0,17090
-0,21582	-0,01660	-21,58203	-0,16602
-0,21313	-0,01611	-21,31348	-0,16113
-0,20972	-0,01709	-20,97168	-0,17090
-0,20850	-0,01563	-20,84961	-0,15625
-0,20532	-0,01514	-20,53223	-0,15137
-0,20361	-0,01514	-20,36133	-0,15137
-0,20117	-0,01465	-20,11719	-0,14648
-0,19824	-0,01465	-19,82422	-0,14648
-0,19531	-0,01514	-19,53125	-0,15137
-0,19263	-0,01465	-19,26270	-0,14648
-0,19043	-0,01416	-19,04297	-0,14160
-0,18799	-0,01465	-18,79883	-0,14648
-0,18555	-0,01465	-18,55469	-0,14648
-0,18311	-0,01416	-18,31055	-0,14160
-0,18091	-0,01367	-18,09082	-0,13672
-0,17725	-0,01367	-17,72461	-0,13672
-0,17529	-0,01465	-17,52930	-0,14648
-0,17261	-0,01416	-17,26074	-0,14160
-0,16943	-0,01367	-16,94336	-0,13672
-0,16748	-0,01367	-16,74805	-0,13672
-0,16431	-0,01367	-16,43066	-0,13672
-0,16211	-0,01318	-16,21094	-0,13184
-0,15869	-0,01367	-15,86914	-0,13672
-0,15747	-0,01221	-15,74707	-0,12207
-0,15430	-0,01270	-15,42969	-0,12695
-0,15161	-0,01318	-15,16113	-0,13184
-0,14917	-0,01172	-14,91699	-0,11719
-0,14697	-0,01221	-14,69727	-0,12207
-0,14429	-0,01221	-14,42871	-0,12207
-0,14258	-0,01123	-14,25781	-0,11230
-0,13867	-0,01172	-13,86719	-0,11719
-0,13574	-0,01123	-13,57422	-0,11230
-0,13477	-0,01172	-13,47656	-0,11719
-0,13184	-0,01074	-13,18359	-0,10742
-0,12988	-0,01074	-12,98828	-0,10742
-0,12671	-0,01025	-12,67090	-0,10254
-0,12329	-0,01025	-12,32910	-0,10254
-0,12134	-0,01025	-12,13379	-0,10254
-0,11865	-0,01025	-11,86523	-0,10254
-0,11572	-0,00928	-11,57227	-0,09277
-0,11377	-0,00928	-11,37695	-0,09277
-0,11157	-0,00879	-11,15723	-0,08789
-0,10889	-0,00928	-10,88867	-0,09277
-0,10645	-0,00928	-10,64453	-0,09277
-0,10352	-0,00830	-10,35156	-0,08301
-0,10107	-0,00879	-10,10742	-0,08789
-0,09814	-0,00830	-9,81445	-0,08301
-0,09521	-0,00830	-9,52148	-0,08301
-0,09302	-0,00781	-9,30176	-0,07813
-0,09131	-0,00684	-9,13086	-0,06836
-0,08862	-0,00684	-8,86230	-0,06836
-0,08569	-0,00781	-8,56934	-0,07813
-0,08374	-0,00684	-8,37402	-0,06836
-0,08008	-0,00586	-8,00781	-0,05859
-0,07910	-0,00635	-7,91016	-0,06348
-0,07495	-0,00586	-7,49512	-0,05859
