time pressure pressure_error
0	3,37E-05	4,21E-06
10	3,47E-05	4,34E-06
20	4,35E-05	5,44E-06
30	4,81E-05	6,01E-06
40	5,44E-05	6,80E-06
50	6,20E-05	7,75E-06
60	6,94E-05	8,68E-06
70	7,71E-05	9,64E-06
80	8,44E-05	1,06E-05
90	9,05E-05	1,13E-05
100	9,64E-05	1,21E-05
110	1,04E-04	1,30E-05
120	1,12E-04	1,40E-05
130	1,19E-04	1,49E-05
140	1,26E-04	1,58E-05
150	1,33E-04	1,66E-05
160	1,40E-04	1,75E-05
170	1,48E-04	1,85E-05
180	1,57E-04	1,96E-05
210	1,84E-04	2,30E-05
240	2,08E-04	2,60E-05
270	2,31E-04	2,89E-05
300	2,52E-04	3,15E-05
330	2,73E-04	3,41E-05
360	2,88E-04	3,60E-05
390	3,06E-04	3,83E-05
420	3,19E-04	3,99E-05
450	3,33E-04	4,16E-05
480	3,50E-04	4,38E-05
510	3,62E-04	4,53E-05
540	3,72E-04	4,65E-05
570	3,96E-04	4,95E-05
600	4,04E-04	5,05E-05
630	4,24E-04	5,30E-05
700	4,42E-04	5,53E-05
730	4,48E-04	5,60E-05
760	4,71E-04	5,89E-05
